episode,reward
0,-6713.589233348452
1,-5833.218881441136
2,-4467.336231649015
3,-8420.314380484755
4,-4275.660880827924
5,-7115.070038511646
6,-5130.311334470594
7,-6290.094039147334
8,-5330.6025390692785
9,-6488.7621094846845
10,-5913.502049870627
11,-5576.189797882662
12,-8376.524539347549
13,-5312.601541178852
14,-9089.049848831666
15,-10942.31092127405
16,-5386.073229603811
17,-4983.649014233839
18,-9245.296300291468
19,-5104.048379969659
20,-6103.750483842877
21,-4850.9945198973255
22,-6613.932565430132
23,-5304.092001837501
24,-4435.89627488553
25,-5024.956147063016
26,-4532.8046096324715
27,-5701.056391482422
28,-6564.8006271868335
29,-6927.301604368632
30,-3459.3235766177486
31,-5800.696049825823
32,-6966.791428135891
33,-6759.943627232286
34,-5646.841898580052
35,-5142.663925543984
36,-4376.325826904263
37,-6037.883343098812
38,-7943.382766245796
39,-7187.956965122153
40,-3649.296700967488
41,-4394.533901084926
42,-6612.306551248686
43,-5711.5595276327995
44,-8480.561519224138
45,-2480.3442619754705
46,-8494.784375400735
47,-3919.316936204617
48,-6699.511110894197
49,-5776.617819752707
50,-5760.231854477172
51,-6552.8899348451
52,-5416.618146995614
53,-6566.813679987279
54,-7107.268574967838
55,-6783.838916324793
56,-2851.6337147885165
57,-6946.604487297812
58,-8193.427462671638
59,-4556.966833951544
60,-6956.717892614004
61,-6626.06709174391
62,-7980.998466796687
63,-6134.201045504303
64,-6015.60865537238
65,-5563.4319916249715
66,-5032.258473337958
67,-7463.420991650912
68,-5343.057670752739
69,-5032.593861516006
70,-7404.382412193552
71,-7316.279205596656
72,-6643.967910276138
73,-5412.3715065715805
74,-10724.87670712753
75,-5616.5283630554095
76,-6062.559581023102
77,-6609.534298333883
78,-3674.0478204639667
79,-5013.874095453476
80,-5353.75402803195
81,-8310.044587216884
82,-4921.34700280068
83,-8607.87516736417
84,-6401.111872700592
85,-7837.988954250702
86,-5558.965035851972
87,-5576.952236904777
88,-9104.937543059224
89,-4753.623152895447
90,-6076.004907362514
91,-3387.2488855981437
92,-5684.323877675873
93,-6810.592774406515
94,-7195.933552642819
95,-7609.650435781162
96,-5849.867071785612
97,-5951.790836579324
98,-9621.134906570172
99,-4075.623539430921
100,-8453.412255314353
101,-7845.757732563991
102,-2878.329618673039
103,-8290.369182596802
104,-6363.2084956055005
105,-7290.0717788827305
106,-4813.769414523022
107,-8914.007426886958
108,-6512.814018839782
109,-6677.272082709056
110,-6003.924519447061
111,-5178.716736551494
112,-5075.080170196904
113,-5384.35958179397
114,-4852.305018586902
115,-4349.605127467933
116,-5590.970895073818
117,-5736.148643260579
118,-3449.241959119648
119,-5166.186248632403
120,-8712.713717602952
121,-6197.80611138903
122,-5199.719632093512
123,-5461.987268210701
124,-6665.392254232672
125,-7481.491125502958
126,-8446.474284656397
127,-5631.836042196419
128,-7304.933331511071
129,-8630.038424455146
130,-7375.7325930265
131,-7577.9333042025155
132,-5683.589594995162
133,-5643.629929067415
134,-4924.412420492917
135,-5274.309754916011
136,-9976.177528678132
137,-5153.873337184696
138,-9538.845053045197
139,-5337.346293828894
140,-4518.743825287696
141,-9807.093826120792
142,-5321.922832260609
143,-4292.253250814718
144,-3584.368143882776
145,-3252.191821636711
146,-7678.933294189162
147,-9884.150018078404
148,-8335.834443520918
149,-2926.648963876761
150,-2869.7199042669436
151,-5730.814388097241
152,-3120.3983844043123
153,-6715.587967421039
154,-6489.414734979706
155,-4838.643909884748
156,-4404.8767679458615
157,-3089.4396107965163
158,-5603.792642236689
159,-3876.042599964278
160,-5557.1236628965025
161,-4489.412824407699
162,-7783.885094293363
163,-6820.649148421265
164,-5534.009920618582
165,-6352.325405783372
166,-6547.052274979062
167,-6351.0488691612745
168,-2551.1788100730732
169,-7111.320518648356
170,-9057.641584473487
171,-7012.745137327818
172,-6573.208657113595
173,-5214.378247800706
174,-4278.367566945017
175,-6512.213391625047
176,-4716.047503838096
177,-9945.814981047026
178,-3876.8463121331242
179,-6807.420756655843
180,-7122.871540665331
181,-5897.665668360069
182,-3922.7076004607948
183,-3703.9637205677227
184,-8799.341129847835
185,-6342.656104906999
186,-5563.457129590605
187,-4509.482433050503
188,-4828.823768929426
189,-7760.1814562963855
190,-7692.528949565439
191,-6317.970845624217
192,-6341.240556307526
193,-8257.960496207648
194,-6891.4807699256735
195,-3431.3265886386384
196,-6369.1016298755985
197,-8261.644810170867
198,-6239.873002371485
199,-5534.778585531921
200,-9298.764021446666
201,-3116.5871614402745
202,-5642.321428427849
203,-6227.921334585564
204,-7031.608945741841
205,-6654.817556789725
206,-4799.271126651059
207,-5779.314782876246
208,-2732.9402909186365
209,-9112.817543642124
210,-4357.438509061019
211,-7395.350002459108
212,-10070.226260062414
213,-7068.931690705982
214,-4435.125555393772
215,-4710.770224754741
216,-7753.033989095579
217,-7918.2045408731565
218,-6948.662768310803
219,-2980.47903310275
220,-6830.87644706234
221,-5514.397499092713
222,-8433.582470579146
223,-6658.114364787499
224,-9430.715810949725
225,-4817.957081470239
226,-6559.1808910576265
227,-8179.50920075341
228,-6024.507301123732
229,-3957.6867326897604
230,-6366.211642995592
231,-6419.355624162886
232,-8287.79194408691
233,-4692.052106071018
234,-6062.630044556164
235,-3133.317688958384
236,-7333.372384364185
237,-5310.726694939108
238,-4874.374426825325
239,-6207.80092135109
240,-4817.887612561631
241,-7905.990025902361
242,-4503.728141148134
243,-4689.587783262935
244,-6880.757473163569
245,-4706.163838237076
246,-3530.0943505188966
247,-4820.4414691618085
248,-8055.994289915343
249,-5995.566474702419
250,-8619.504895098486
251,-7093.623061512584
252,-3456.897859551681
253,-7216.132130318094
254,-7229.939132749882
255,-2731.3796919853316
256,-5303.45436053614
257,-8523.347480754494
258,-5321.630262006794
259,-3988.002854035363
260,-7371.017921965569
261,-7885.933585670624
262,-6687.145795349444
263,-4091.7569444232527
264,-7237.079849675901
265,-8054.373714504401
266,-4895.817741735859
267,-6443.069439792
268,-8079.694884243488
269,-7011.760043725665
270,-4752.367371928319
271,-5011.350286802361
272,-9086.527614788867
273,-5333.435049866171
274,-5249.585827892047
275,-5565.096692626077
276,-5140.464864930335
277,-4844.084230076834
278,-6498.586671143699
279,-7007.136519586155
280,-7456.259391610418
281,-5148.521154570986
282,-5390.799820574681
283,-5427.822593275104
284,-4433.072255025294
285,-8132.03152298967
286,-5081.162640239917
287,-7040.9676886425295
288,-5593.63034775271
289,-9996.158355083608
290,-3643.425755347252
291,-5608.001638962415
292,-7770.684741166026
293,-4962.4960479619685
294,-9370.609419158485
295,-4340.083970501018
296,-3899.5516330571973
297,-5604.78873200561
298,-4076.7777093019026
299,-6548.097586095222
300,-6795.331671759338
301,-6694.463074784434
302,-3013.9797291828977
303,-5992.57039607654
304,-5934.697501162045
305,-7156.213244960893
306,-5552.659160477042
307,-8262.599701299258
308,-6068.506625875095
309,-5971.262041941227
310,-4078.387730609667
311,-9578.651827464058
312,-4197.19010436613
313,-8501.76414055544
314,-5207.395884229973
315,-5053.703184178796
316,-4895.572164142463
317,-3909.2033148790806
318,-4504.940062268267
319,-5968.904209341922
320,-9904.149820520082
321,-7534.777504923034
322,-5060.2363278969715
323,-4165.827711085193
324,-7541.334936865745
325,-5320.052054929101
326,-5437.8492374950565
327,-5820.147825422922
328,-5816.130122616824
329,-11610.114679455746
330,-6319.940615386434
331,-6835.374630998507
332,-6554.635259957462
333,-3630.077520094272
334,-8316.075243736235
335,-6151.302348715714
336,-6550.569306295163
337,-3547.663813003325
338,-6743.513831721598
339,-6578.049268125073
340,-4922.089278961034
341,-8872.222763903595
342,-6357.191621612242
343,-4301.318248619234
344,-7606.288758091117
345,-10411.897349989105
346,-5274.663935800122
347,-7336.34912004967
348,-6410.353122537045
349,-7447.197756876965
350,-4915.00367573033
351,-5620.972337117487
352,-4390.099970474234
353,-2879.1954715002826
354,-7605.027258512756
355,-3600.8590440563125
356,-5578.9773663643755
357,-7427.999475159446
358,-6307.2513977116705
359,-3795.450005887707
360,-6879.595333095609
361,-6001.5080871348155
362,-7118.702846626884
363,-7070.725232896991
364,-5715.9672839522245
365,-8576.443949727909
366,-4641.565336923258
367,-7645.7342952800345
368,-5773.597650122325
369,-6725.6969080833105
370,-2345.5802716541466
371,-6859.190608192109
372,-4800.838251574962
373,-5560.255389201992
374,-3595.891975865221
375,-5124.682689843492
376,-8673.881935963593
377,-4121.409063748247
378,-9129.377545287258
379,-4488.659560386504
380,-5916.592481030062
381,-5494.947088377323
382,-6238.186196051268
383,-4510.011106756023
384,-3659.1845506718764
385,-3430.358958478374
386,-6073.077185899405
387,-8704.769623208042
388,-7824.7957919101045
389,-4677.820668539751
390,-5493.395948211432
391,-6491.98790199473
392,-7486.037805234828
393,-6199.283199109381
394,-4240.326142596314
395,-4086.0832653295683
396,-7355.029148488383
397,-8977.108026818474
398,-5582.245685743606
399,-7775.337623323794
400,-4600.094284756595
401,-4278.7699500376775
402,-6444.062453921945
403,-6118.936470311026
404,-8983.231078336781
405,-6205.314844284626
406,-6525.2922708663355
407,-6123.646366873555
408,-6189.621264797527
409,-8362.32965282344
410,-6161.781085263329
411,-6645.685374996931
412,-10041.467219054593
413,-7162.706309330596
414,-7125.29122565938
415,-3582.837458966456
416,-4676.981871059384
417,-6594.980326904472
418,-6157.540967900354
419,-6627.962184982969
420,-4837.984398880236
421,-6597.731624066374
422,-5425.27016647513
423,-5427.715884801752
424,-7248.316978946371
425,-10666.914408820989
426,-9074.597986297038
427,-7184.938050919148
428,-7113.027719650643
429,-4307.572478228237
430,-6057.985443814648
431,-3971.9450415621513
432,-4826.3507241679845
433,-5079.593128791859
434,-5836.876583105633
435,-9742.81454452685
436,-4871.452644781535
437,-5817.319361072043
438,-6493.124788202589
439,-6903.104273511919
440,-3475.818336698224
441,-7187.519313515634
442,-5994.270031477268
443,-5024.829134281607
444,-8656.052309609324
445,-6379.136441812654
446,-6147.67275898708
447,-8233.556974154564
448,-4444.418253318579
449,-3586.469941282955
450,-8591.679174390805
451,-4821.676802873103
452,-3985.137822097824
453,-6249.820032934987
454,-5614.73851448742
455,-7244.670048563765
456,-4669.929463890186
457,-6873.160835148572
458,-8635.946161481726
459,-3627.8879105531446
460,-3951.277285072414
461,-4325.187751234
462,-2700.2385641825813
463,-8477.89487510422
464,-5536.558244749578
465,-6168.98460226357
466,-6793.437248847958
467,-5947.28708896667
468,-5126.799289138693
469,-9296.168576064883
470,-7577.069210666383
471,-9936.584628458573
472,-5544.979620040467
473,-7354.481751235128
474,-3002.6423015012647
475,-6322.518664794372
476,-4370.093334388074
477,-7813.097450112256
478,-8631.728156056764
479,-7786.291691244308
480,-5608.527819892657
481,-5580.5682069890645
482,-5509.302124137353
483,-6233.555312536877
484,-5439.083275089457
485,-6262.454199069441
486,-6383.540126407189
487,-4448.170720987702
488,-7766.7814005971995
489,-4804.401847438583
490,-7816.722519805194
491,-7315.31645911287
492,-3150.488157898485
493,-6071.940013579355
494,-4697.07038268442
495,-10996.396408995874
496,-8517.124364855947
497,-6278.324981629188
498,-9205.10100674606
499,-8480.685033429314
500,-5267.900975229753
501,-3269.590375184337
502,-5057.8086269583255
503,-5702.32133886359
504,-4510.463240902677
505,-5240.556595812111
506,-7973.466036873133
507,-4846.657273703516
508,-5368.044121894408
509,-8328.498841745617
510,-3719.5581827440346
511,-10920.634044039742
512,-6527.029615397391
513,-6551.089575274205
514,-4140.100237524523
515,-6329.523928625319
516,-4178.373315989003
517,-4479.878030203648
518,-8220.501526873815
519,-8197.618789560469
520,-8149.404607489208
521,-7413.33479059286
522,-5215.862838780127
523,-7523.602847668377
524,-3786.496395607704
525,-6793.8915129962925
526,-5005.934274593797
527,-3979.727632198681
528,-4601.476455311746
529,-6956.025577967852
530,-5042.211960307808
531,-5317.680672295156
532,-3434.371357669448
533,-6826.406339671886
534,-5582.283320670805
535,-4907.560265963395
536,-7139.482995980737
537,-5034.799544183801
538,-7709.49657885624
539,-6916.220203109852
540,-4637.540447698681
541,-8400.49397871643
542,-8813.071849825152
543,-4572.404046990246
544,-7195.462661023258
545,-6529.197737357284
546,-8031.8379712086735
547,-9147.850686613026
548,-6881.597636594396
549,-8247.378307086125
550,-6381.309416564152
551,-7241.246158658967
552,-5985.891309544553
553,-9104.882107496513
554,-4387.031920075001
555,-7564.9691982434515
556,-4248.2071912320225
557,-5191.919624959384
558,-5189.151402179898
559,-6155.538579871798
560,-5261.5022497058035
561,-6760.711360813372
562,-6060.482022769029
563,-8007.891558002261
564,-5828.549638944833
565,-6231.155586801084
566,-4102.108823035258
567,-5184.750339989322
568,-5709.505148499819
569,-4289.644345719668
