episode,reward
0,-121.1605716867303
1,-255.61813394393684
2,-167.09480012274352
3,-189.1959279363854
4,-123.6926837169436
5,-126.4380805212228
6,-143.47509806903008
7,-180.77623486117326
8,-146.81815879561663
9,-134.44698698596093
10,-131.12654740845602
11,-137.69922246208563
12,-179.11709758188164
13,-168.26203042728937
14,-134.36269961538878
15,-207.04828940423573
16,-223.87791686393928
17,-172.42106746419068
18,-180.31199863941072
19,-215.3949391774553
20,-214.70394712904115
21,-141.3174047946418
22,-201.86452863845304
23,-135.58833006080886
24,-139.47841433360443
25,-183.95477259324394
26,-144.6098599645322
27,-144.21043005650392
28,-173.83944096508108
29,-126.63158288154835
30,-120.3424050504334
31,-208.29961930495185
32,-145.93865461865042
33,-225.8628199711854
34,-153.94878809173528
35,-125.14032772622156
36,-194.53641320387106
37,-150.4138068118141
38,-213.70282392332336
39,-195.44919370951283
40,-94.4588469027542
41,-130.33399265557472
42,-220.7221973335739
43,-119.45108615431056
44,-195.8554955455142
45,-153.29259625354936
46,-117.42159904417984
47,-167.66057237058618
48,-185.7200226717406
49,-221.31874029401084
50,-138.7323048193056
51,-124.90680038197364
52,-129.65178898535092
53,-255.64751575187336
54,-221.11637981801243
55,-134.89457858365853
56,-208.54386191074593
57,-156.23264413715188
58,-143.0190493036852
59,-157.7688954142946
60,-139.54746754519348
61,-156.71623198383625
62,-155.82972939202864
63,-94.32373908597087
64,-159.9364737880919
65,-118.48507392739906
66,-159.2960188683583
67,-197.16985066675878
68,-135.90259864551442
69,-133.14722455675135
70,-113.94087929205661
71,-282.05146392711197
72,-89.00688856173704
73,-154.46781123405566
74,-192.24619853973863
75,-167.37354903356263
76,-222.57082042913342
77,-137.89864247615793
78,-160.34559634106765
79,-116.48436216370808
80,-206.64491093495823
81,-292.517014381608
82,-109.38650061808151
83,-166.34474881255784
84,-246.30658587219173
85,-183.5467544412849
86,-150.34898609503924
87,-143.82160805994494
88,-271.09573359687965
89,-174.5297511225218
90,-180.71488044013898
91,-118.70050111533511
92,-142.25912215224545
93,-177.7386417748721
94,-162.44800892075946
95,-134.04136025285223
96,-226.49689619211543
97,-217.10495139230233
98,-188.88799427824733
99,-94.90306350711528
100,-250.43213187319822
101,-155.92046173730049
102,-188.66684817918912
103,-267.4615824788845
104,-159.37144196222422
105,-189.6218519921454
106,-117.50277803184531
107,-150.31718534584957
108,-135.85530885903043
109,-155.93825093217637
110,-203.7218767895249
111,-114.1890751122913
112,-135.3702496089788
113,-125.60081297244056
114,-232.0808256072189
115,-206.2641135553622
116,-123.1606900822974
117,-187.9457500681345
118,-81.09419998894225
119,-121.38809491892856
120,-282.48205609831973
121,-239.54788218793746
122,-155.2959006383831
123,-107.52783345939348
124,-174.121283726787
125,-191.21551596892976
126,-207.88785945561074
