episode,reward
0,-5726.645795284013
1,-5520.832441068182
2,-4438.89733059541
3,-3426.962074235731
4,-6178.468733623925
5,-8474.107218944115
6,-6735.969254964054
7,-7047.1893089593
8,-5170.772624372458
9,-5035.028334868195
10,-6727.270129892688
11,-4726.041176251217
12,-4269.902246261545
13,-7493.139643656644
14,-6664.546460854507
15,-9013.746269753135
16,-5419.246534950647
17,-4411.496103154653
18,-9332.79224104099
19,-6721.221443717355
20,-8141.159261735503
21,-3585.138069852153
22,-6048.24851874864
23,-7382.295591870346
24,-8380.629068901739
25,-7067.451391672496
26,-5564.64871076843
27,-5633.642929728975
28,-8905.189163958708
29,-5884.269917091629
30,-4870.12494688327
31,-8308.463784248463
32,-8208.959164815164
33,-8456.649878995964
34,-7456.045208983205
35,-2755.6687747230376
36,-4485.884142350751
37,-3821.430992490878
38,-8149.526005017514
39,-9121.52156783392
40,-7174.6204827791935
41,-6240.979413449104
42,-5873.847340667853
43,-5197.834961318254
44,-7731.847287013362
45,-4586.90428795699
46,-4502.825174552933
47,-4987.900998335213
48,-8238.417654601108
49,-6580.961508852228
50,-5484.970562442192
51,-5668.845674506937
52,-3581.230762446777
53,-8175.597872587967
54,-7588.0004691381755
55,-6043.55658931641
56,-4934.570348131389
57,-7492.666700135801
58,-6143.183512028394
59,-6903.1257665386565
60,-7261.654984119746
61,-6275.257794073456
62,-7730.630838816001
63,-6462.088437073378
64,-7191.155019366655
65,-7776.79027124677
66,-5790.115012289769
67,-8304.536407672334
68,-4895.1314620263975
69,-5298.097637244145
70,-7924.938861163158
71,-11058.338807656084
72,-6098.949775054367
73,-4964.809101947217
74,-7232.5349305406
75,-6313.735445817693
76,-5647.689056155963
77,-9081.455117067682
78,-4178.668434821783
79,-6169.977549379025
80,-9025.409407355904
81,-8742.193875794499
82,-8211.605364947043
83,-6297.796634550148
84,-9948.682040411097
85,-7893.758695880993
86,-6200.79580971441
87,-4654.461557983276
88,-9416.33730322569
89,-5282.929349810488
90,-5846.72944874037
91,-7363.651572128126
92,-7706.959519804267
93,-5722.393452725644
94,-4955.258671816996
95,-5205.924561808794
96,-6124.304482733199
97,-6550.660234792328
98,-8225.404334613422
99,-4108.683375394262
100,-4857.623549712255
101,-10418.676438370778
102,-5534.019143116635
103,-8989.707683745937
104,-7223.14120073403
105,-6330.582647175167
106,-7057.545642482113
107,-6059.49462357522
108,-7315.671429192211
109,-5757.410433817667
110,-5197.577982260671
111,-6501.757737595946
112,-6344.958566554104
113,-6676.077706807605
114,-6257.495099004053
115,-4506.854990305573
116,-4435.345528299063
117,-3977.9085724402585
118,-5236.229995816008
119,-6719.016025328665
120,-10690.161652826233
121,-10965.78274414704
122,-5794.980814054711
123,-3836.888552966868
124,-7539.746117195247
125,-7889.747144264076
126,-8022.243788740455
127,-3372.9391910725153
128,-8387.426235620758
129,-6165.163591535474
130,-6546.30901654123
131,-6452.728324231842
132,-6184.523889783641
133,-6738.885334998315
134,-2464.616713584485
135,-6418.63016758826
136,-5220.630956445575
137,-7115.56579581275
138,-7281.028150931788
139,-7138.02880309484
140,-3651.447319611285
141,-10554.17547016557
142,-6143.185747693359
143,-2505.241660986869
144,-5283.381276307918
145,-3894.5883238376946
146,-7211.3240574861065
147,-7202.818697427828
148,-8299.365691115885
149,-5393.6259730646925
150,-4292.380854815296
151,-6318.19038074133
152,-4194.705151787293
153,-5765.865659691121
154,-7763.464371379689
155,-8403.032190448535
156,-5066.559670790903
157,-5233.097585977525
158,-7993.79982284082
159,-4061.5615854647062
160,-6879.492135487772
161,-7702.859523159608
162,-7920.854574737806
163,-5628.486683142107
164,-6377.09593642604
165,-6037.234213433181
166,-7354.499043727977
167,-5064.040465758781
168,-4583.090328778877
169,-8511.532069211373
170,-8188.916671127869
171,-5953.864818043893
172,-5615.402680713482
173,-5818.603465784518
174,-5618.408844635326
175,-9857.053569414977
176,-4674.201885711949
177,-7732.908831100707
178,-5209.763373127236
179,-10231.792061559985
180,-5962.395167511657
181,-5575.934611453573
182,-6367.258655618135
183,-5685.581473034556
184,-7440.049789468514
185,-5243.617414807199
186,-6990.27182212165
187,-7233.036278311887
188,-5679.4386044614985
189,-6423.841106321097
190,-5865.8328778854575
191,-8751.026592292948
192,-6791.430982322969
193,-10104.08416968063
194,-4958.920196183335
195,-5963.319235546137
196,-8199.776961572317
197,-5435.466630893737
198,-6783.161482760979
199,-5019.092034977102
200,-7007.290387906837
201,-5418.098827735752
202,-3763.3172790584713
203,-7566.547552395497
204,-7880.525322340817
205,-6487.097452037267
206,-6035.349858526704
207,-6320.317416754967
208,-7023.941320679682
209,-9076.09428781864
210,-6539.384026602771
211,-8600.392731463744
212,-7871.843119594666
213,-6313.868324481865
214,-6847.790905971147
215,-6569.944754239309
216,-7258.946553255004
217,-6558.722643653237
218,-5445.323481758861
219,-5123.5428167593045
220,-7440.318300990617
221,-3838.087948786463
222,-5717.870366273954
223,-5733.807682846105
224,-8062.4539447388115
225,-3908.8172342947714
226,-10150.042959284954
227,-6502.987722760066
228,-6201.324437720952
229,-5616.373481959554
230,-7843.00975611413
231,-5987.283452078639
232,-7140.919782792984
233,-5688.235420441394
234,-6903.9944445339115
235,-6308.779134195425
236,-5938.544226347812
237,-4458.8708297850235
238,-4441.37654509232
239,-6333.632625400132
240,-7013.117048652294
241,-6079.271599724449
242,-5721.856139823121
243,-6216.498845657203
244,-4546.039346519892
245,-5010.485707115285
246,-2943.5501141422565
247,-5414.672390133158
248,-5997.516304317047
249,-6410.015295038455
250,-6663.176499787338
251,-7296.9405419643645
252,-6349.789258912256
253,-4229.4314740026375
254,-7084.14840286806
255,-4577.081468455149
256,-4539.145967543945
257,-6887.320429245387
258,-5588.3890520079185
259,-7416.092165167706
260,-5119.996790481025
261,-9206.157101206529
262,-5870.014596844346
263,-5910.775541893121
264,-4610.255364528701
265,-3400.9159453882394
266,-3702.1754085411712
267,-6454.30142663343
268,-9183.948227823947
269,-9144.483607704571
270,-2711.8308846179075
271,-5488.850302612364
272,-7721.924679814751
273,-6454.853984311272
274,-7205.588181195695
275,-2772.1748802007314
276,-7318.354096644071
277,-4017.256132249576
278,-5693.458658020817
279,-8215.60761180304
280,-4894.210477968475
281,-9067.403643032676
282,-4828.92928131116
283,-6362.948749383061
284,-7881.186180454438
285,-6128.12972011167
286,-3436.9061045062554
287,-6640.025006040147
