episode,reward
0,-134.30136355855973
1,-224.4208732046944
2,-179.14242966692976
3,-169.25109256777796
4,-282.4962336145769
5,-269.70260887144457
6,-152.69511152989338
7,-226.1811117232634
8,-212.90466935661408
9,-166.5966219280175
10,-202.70377300830083
11,-200.44357425744604
12,-205.09666665304894
13,-188.06524610547166
14,-185.17562863569233
15,-270.16883345984814
16,-234.49985850420967
17,-88.14174579393399
18,-198.60903930871677
19,-208.09199620505527
20,-216.074921565653
21,-182.923939217487
22,-181.24234807752967
23,-224.50314341556117
24,-205.58476324635438
25,-170.42088313453246
26,-164.98013565819073
27,-166.26030548654126
28,-282.2351252149075
29,-190.73217166730225
30,-177.1822746327754
31,-211.32086020706564
32,-133.45345604301474
33,-244.9241199719428
34,-184.20741651125644
35,-160.44340608834386
36,-242.630990497971
37,-177.0198957498058
38,-230.68840729295457
39,-215.17114259691974
40,-156.7377163030476
41,-267.8946326855324
42,-245.3201037974423
43,-143.49737888229
44,-205.4547720995281
45,-241.88329891558212
46,-185.40016190503326
47,-181.71485469514073
48,-166.78267021234802
49,-201.61537676170275
50,-129.19541026186937
51,-156.01938271200322
52,-191.85137775738428
53,-208.88080660399916
54,-243.82330934177662
55,-242.4394847016183
56,-151.6264133172404
57,-205.72395545721608
58,-196.62834122789366
59,-164.16295370902088
60,-157.16487515833137
61,-192.55889112034765
62,-193.77180196724308
63,-125.80970913059784
64,-177.3668157681877
65,-179.24031582875082
66,-154.73159287040716
67,-187.44825679696842
68,-140.23430691640905
69,-137.56852439641452
70,-226.59031690542983
71,-339.9233497459509
72,-170.7613389028398
73,-206.45659096163757
74,-234.10043579194308
75,-164.81853299686009
76,-217.2954085211379
77,-191.9714342701557
78,-134.27075453148265
79,-125.36740509378012
80,-282.0765108410382
81,-371.2146878013771
82,-195.2472215135087
83,-218.71132293311976
84,-238.00160871124447
85,-253.17807413675132
86,-205.7560374936746
87,-183.4544421506356
88,-264.56964041551134
89,-148.2147913715369
90,-191.9121367970216
91,-171.36650908799245
92,-206.48956682409556
93,-199.7590908566341
94,-226.20902642178348
95,-202.8451484774294
96,-209.51779559832002
97,-107.38596916496246
98,-184.26846381321207
99,-181.1172885672358
100,-267.69860041907316
101,-186.29355653580726
102,-204.09497190257485
103,-281.6702022103266
104,-181.06988524312868
105,-209.3311021607173
106,-143.38643610850295
107,-152.7607395754798
108,-234.26269124405712
109,-138.85581163856634
110,-193.5383572038479
111,-168.065781517999
112,-190.6639355311858
113,-198.23127569182483
114,-157.87845004643933
115,-220.6393175188473
116,-203.22278111804303
117,-251.4685346284317
118,-140.34554010794633
119,-173.39605271817857
120,-292.14160353453167
121,-296.33510093072954
122,-184.64175110137995
123,-182.94195352585803
124,-198.40085999027684
125,-263.8845411097011
126,-218.72168996358315
127,-110.7105481864867
128,-235.04854528223848
129,-237.89697142140713
130,-187.1708794952051
131,-273.6250676709765
132,-150.01363597276418
133,-208.8046609530371
134,-171.49069019662664
135,-228.56502351889873
136,-285.4444972259929
137,-82.31668499008417
138,-275.5090004453229
139,-212.2212566118895
140,-176.7466246893023
141,-242.7141999246734
